@relation Registro

@attribute Estacion {Primavera, Verano, Otono, Invierno}
@attribute year numeric
@attribute Edad numeric
@attribute NecesitaPermiso {Si, No}
@attribute TienePermiso {Si, No}
@attribute Genero {Masculino, Femenino}
@attribute SeCaso {Si, No}
@data
'Primavera', 2020, 42, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 39, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 46, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 48, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 31, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 34, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 54, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 62, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 21, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 52, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 24, 'No', 'No', 'Femenino', 'No'
'Invierno', 2021, 30, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 20, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 49, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 18, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 28, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 39, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 35, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 57, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 26, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 39, 'No', 'Si', 'Masculino', 'Si'
'Otono', 2022, 49, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 27, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 43, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 16, 'Si','No', 'Femenino', 'Si'
'Primavera', 2021, 36, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 19, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 16, 'Si','No', 'Masculino', 'No'
'Otono', 2020, 15, 'Si','Si', 'Masculino', 'Si'
'Otono', 2022, 40, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 20, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 55, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 47, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 45, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 62, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 47, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 34, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 29, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 18, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 45, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 39, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 23, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 51, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 49, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 51, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 20, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 29, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 20, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 64, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 49, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 54, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 15, 'Si','Si', 'Femenino', 'No'
'Otono', 2021, 31, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 46, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 54, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 17, 'Si','Si', 'Femenino', 'No'
'Primavera', 2020, 60, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 19, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 17, 'Si','Si', 'Femenino', 'No'
'Otono', 2020, 16, 'Si','No', 'Femenino', 'No'
'Verano', 2022, 61, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 35, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 61, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 52, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 36, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 56, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 29, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 28, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 34, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 45, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 27, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 42, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 23, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 39, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 47, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 29, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 16, 'Si','No', 'Femenino', 'No'
'Otono', 2022, 46, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 51, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 34, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 61, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 24, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 57, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 57, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 21, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 18, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 55, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 37, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 22, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 21, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 34, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 17, 'Si','No', 'Femenino', 'Si'
'Invierno', 2020, 42, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 64, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 50, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 24, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 26, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 18, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 59, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 48, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 47, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 33, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 48, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 47, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 25, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 15, 'Si','No', 'Masculino', 'Si'
'Verano', 2020, 26, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 14, 'Si','No', 'Masculino', 'No'
'Otono', 2020, 52, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 56, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 39, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 57, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 50, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 30, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 59, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 63, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 14, 'Si','Si', 'Femenino', 'No'
'Primavera', 2021, 33, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 45, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 30, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 26, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 23, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 22, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 43, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 60, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 53, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 40, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 39, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 49, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 51, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 56, 'Si', 'Si', 'Femenino', 'No'
'Verano', 2020, 15, 'Si','No', 'Masculino', 'No'
'Otono', 2021, 41, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 47, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 32, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 27, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 45, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 14, 'Si','No', 'Femenino', 'Si'
'Verano', 2022, 62, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 39, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 49, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 25, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 29, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 27, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 40, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 23, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 53, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 32, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 56, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 39, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 50, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 20, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 46, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 52, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 38, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 46, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 31, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 20, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 23, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 19, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 47, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 58, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 21, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 38, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 52, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 64, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 45, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 22, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 43, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 20, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 28, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 33, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 15, 'Si','Si', 'Masculino', 'Si'
'Invierno', 2021, 29, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 41, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 55, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 33, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 16, 'Si','Si', 'Masculino', 'Si'
'Otono', 2020, 35, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 51, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 59, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 57, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2022, 14, 'Si','Si', 'Femenino', 'Si'
'Otono', 2021, 50, 'No', 'No', 'Masculino', 'No'
'Otono', 2022, 20, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 38, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 36, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 60, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 22, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 49, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 46, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 33, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 48, 'No', 'No', 'Masculino', 'Si'
'Verano', 2022, 25, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 23, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 19, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 62, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2021, 41, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 17, 'Si','No', 'Femenino', 'Si'
'Verano', 2022, 24, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 15, 'Si','No', 'Masculino', 'Si'
'Primavera', 2021, 44, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 29, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 47, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 16, 'Si','No', 'Masculino', 'No'
'Verano', 2022, 38, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 59, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 45, 'No', 'No', 'Masculino', 'Si'
'Otono', 2020, 55, 'No', 'No', 'Femenino', 'No'
'Verano', 2021, 44, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 31, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 54, 'No', 'No', 'Masculino', 'No'
'Invierno', 2021, 19, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 38, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 56, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 58, 'No', 'No', 'Femenino', 'No'
'Primavera', 2022, 53, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 59, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 35, 'No', 'No', 'Masculino', 'Si'
'Verano', 2022, 33, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 23, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 39, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 63, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 54, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 16, 'Si','Si', 'Masculino', 'Si'
'Invierno', 2022, 47, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 21, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 29, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 28, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 57, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 58, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 27, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 18, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 47, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 19, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 40, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 17, 'Si','No', 'Masculino', 'Si'
'Invierno', 2021, 51, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 41, 'No', 'No', 'Masculino', 'Si'
'Verano', 2021, 37, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 33, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 21, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 53, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 32, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 48, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 60, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2021, 57, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 24, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 17, 'Si','No', 'Femenino', 'Si'
'Verano', 2021, 53, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 30, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 44, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 25, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 52, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 35, 'No', 'No', 'Femenino', 'Si'
'Verano', 2022, 14, 'Si','Si', 'Masculino', 'Si'
'Invierno', 2020, 63, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 45, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 59, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 17, 'No', 'Si', 'Masculino', 'Si'
'Verano', 2021, 18, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 57, 'No', 'No', 'Masculino', 'No'
'Verano', 2020, 37, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 59, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 50, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 14, 'Si','No', 'Masculino', 'Si'
'Primavera', 2022, 25, 'No', 'No', 'Masculino', 'No'
'Otono', 2022, 15, 'Si','No', 'Masculino', 'Si'
'Otono', 2022, 51, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 52, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 45, 'No', 'No', 'Femenino', 'No'
'Invierno', 2020, 22, 'No', 'No', 'Femenino', 'Si'
'Otono', 2020, 54, 'No', 'No', 'Femenino', 'No'
'Primavera', 2020, 45, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 40, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 31, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 28, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 56, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 15, 'Si','No', 'Femenino', 'Si'
'Invierno', 2021, 24, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 28, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 15, 'Si','Si', 'Femenino', 'Si'
'Invierno', 2022, 61, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 64, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 16, 'Si','Si', 'Masculino', 'No'
'Primavera', 2020, 16, 'Si','Si', 'Femenino', 'Si'
'Verano', 2022, 34, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 50, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 53, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 33, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 27, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 47, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 21, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 21, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 28, 'No', 'No', 'Masculino', 'No'
'Otono', 2021, 20, 'No', 'No', 'Femenino', 'No'
'Verano', 2022, 20, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 29, 'No', 'No', 'Masculino', 'No'
'Otono', 2020, 52, 'No', 'No', 'Femenino', 'No'
'Otono', 2020, 18, 'No', 'No', 'Masculino', 'No'
'Invierno', 2020, 39, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 42, 'No', 'No', 'Masculino', 'No'
'Otono', 2022, 35, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 33, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 15, 'Si','No', 'Masculino', 'Si'
'Invierno', 2020, 51, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 30, 'No', 'No', 'Masculino', 'No'
'Verano', 2022, 44, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 30, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 55, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2022, 50, 'Si', 'Si', 'Masculino', 'No'
'Primavera', 2022, 49, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 43, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 46, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 17, 'Si','No', 'Femenino', 'No'
'Primavera', 2022, 20, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 38, 'No', 'No', 'Femenino', 'Si'
'Otono', 2021, 15, 'Si','Si', 'Femenino', 'Si'
'Primavera', 2021, 54, 'No', 'No', 'Femenino', 'No'
'Verano', 2020, 30, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 57, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 25, 'No', 'No', 'Femenino', 'No'
'Otono', 2022, 31, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 19, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 42, 'No', 'No', 'Femenino', 'No'
'Primavera', 2021, 33, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2020, 57, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 15, 'Si','Si', 'Femenino', 'No'
'Invierno', 2020, 40, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 19, 'No', 'No', 'Masculino', 'No'
'Primavera', 2022, 33, 'No', 'No', 'Masculino', 'Si'
'Verano', 2020, 42, 'No', 'No', 'Femenino', 'Si'
'Verano', 2020, 48, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 64, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 54, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 38, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2022, 15, 'Si','Si', 'Masculino', 'No'
'Primavera', 2022, 24, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2021, 56, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 17, 'Si','No', 'Masculino', 'No'
'Verano', 2021, 37, 'No', 'No', 'Masculino', 'Si'
'Primavera', 2020, 39, 'No', 'No', 'Masculino', 'No'
'Invierno', 2022, 54, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 52, 'No', 'No', 'Femenino', 'Si'
'Invierno', 2020, 52, 'No', 'No', 'Masculino', 'No'
'Verano', 2021, 47, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2020, 52, 'No', 'No', 'Femenino', 'Si'
'Primavera', 2022, 50, 'No', 'No', 'Femenino', 'Si'
'Verano', 2021, 53, 'No', 'No', 'Femenino', 'No'
'Otono', 2021, 46, 'No', 'No', 'Femenino', 'Si'
'Otono', 2022, 54, 'No', 'No', 'Masculino', 'Si'
'Invierno', 2021, 19, 'No', 'No', 'Masculino', 'No'
'Primavera', 2021, 48, 'No', 'No', 'Femenino', 'No'
'Invierno', 2022, 51, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 24, 'No', 'No', 'Masculino', 'No'
'Primavera', 2020, 30, 'No', 'No', 'Masculino', 'Si'
'Otono', 2021, 60, 'No', 'No', 'Femenino', 'Si'
